"","id","latitude","longitude","price","region","neigborhood"
"371",4015972,"42.32161991","-71.10550968",60,"02130","Jamaica Plain"
"372",2295530,"42.31778586","-71.10513644",99,"02130","Roslindale"
"373",5882411,"42.29847144","-71.11065809",88,"02130","Jamaica Plain"
"374",6914622,"42.30814199","-71.11793665",225,"02130","Forest Hills / Woodbourne"
"375",13697486,"42.29244338","-71.11790286",50,"02130","Jamaica Plain"
"376",14254537,"42.31121242","-71.11191179",225,"02130","Jamaica Plain"
"377",13041752,"42.29856687","-71.11239522",48,"02130","Jamaica Plain"
"378",4538423,"42.31158194","-71.10412649",37,"02130","Jamaica Plain"
"379",1885386,"-71.11643176","t",550,"02130","Jamaica Plain"
"380",115936,"42.31557614","-71.11305745",525,"02130","Jamaica Plain"
"381",8275122,"42.31923916","-71.10624049",100,"02130","Jamaica Plain"
